area,lat,lng,hour,day_of_week,month,crime_type,incidents,danger_score
Gandhipuram,11.0168,76.9558,22,5,4,theft,24,85
Gandhipuram,11.0168,76.9558,23,6,4,assault,18,90
Gandhipuram,11.0168,76.9558,21,4,4,robbery,12,80
Gandhipuram,11.0168,76.9558,10,1,4,theft,5,30
Gandhipuram,11.0168,76.9558,14,2,4,theft,3,20
RS Puram,11.0050,76.9612,21,5,4,theft,12,70
RS Puram,11.0050,76.9612,22,6,4,assault,8,75
RS Puram,11.0050,76.9612,23,5,3,robbery,6,72
RS Puram,11.0050,76.9612,9,1,4,theft,2,15
RS Puram,11.0050,76.9612,15,3,4,theft,1,10
Peelamedu,11.0230,76.9850,20,4,4,theft,4,25
Peelamedu,11.0230,76.9850,22,5,4,theft,3,20
Peelamedu,11.0230,76.9850,8,1,4,theft,1,10
Peelamedu,11.0230,76.9850,14,2,4,theft,1,8
Ukkadam,11.0120,76.9400,22,5,4,robbery,31,92
Ukkadam,11.0120,76.9400,23,6,4,assault,28,95
Ukkadam,11.0120,76.9400,21,4,4,theft,20,88
Ukkadam,11.0120,76.9400,11,1,4,theft,4,25
Ukkadam,11.0120,76.9400,15,2,4,theft,2,18
Saibaba Colony,11.0310,76.9700,20,4,4,theft,9,55
Saibaba Colony,11.0310,76.9700,22,5,4,assault,7,60
Saibaba Colony,11.0310,76.9700,23,6,4,theft,5,58
Saibaba Colony,11.0310,76.9700,10,1,4,theft,2,15
Saibaba Colony,11.0310,76.9700,14,2,4,theft,1,10
Singanallur,11.0000,76.9800,21,5,4,theft,8,50
Singanallur,11.0000,76.9800,22,6,4,robbery,6,55
Singanallur,11.0000,76.9800,9,1,4,theft,1,12
Hopes College,11.0400,76.9600,20,4,4,theft,5,40
Hopes College,11.0400,76.9600,22,5,4,assault,4,45
Hopes College,11.0400,76.9600,10,1,4,theft,1,10
Kovaipudur,11.0300,76.9300,21,5,4,theft,3,30
Kovaipudur,11.0300,76.9300,23,6,4,theft,2,28
Kovaipudur,11.0300,76.9300,14,2,4,theft,1,8
